"date","unem_rate","industrial_production_index","manufacturers_new_orders","purchase_house_price_index","construction_spending","retail_sales"
1990-01-01,6,63.793,NA,NA,NA,NA
1990-02-01,5.9,64.7404,NA,NA,NA,NA
1990-03-01,5.5,65.0788,NA,NA,NA,NA
1990-04-01,5.3,63.7434,NA,NA,NA,NA
1990-05-01,5.2,64.4036,NA,NA,NA,NA
1990-06-01,5.4,66.3925,NA,NA,NA,NA
1990-07-01,5.6,63.935,NA,NA,NA,NA
1990-08-01,5.5,66.1437,NA,NA,NA,NA
1990-09-01,5.6,66.6284,NA,NA,NA,NA
1990-10-01,5.5,65.6866,NA,NA,NA,NA
1990-11-01,5.9,63.9776,NA,NA,NA,NA
1990-12-01,6,63.0847,NA,NA,NA,NA
1991-01-01,7.1,63.3763,NA,100,NA,NA
1991-02-01,7.3,63.1294,NA,100.47,NA,NA
1991-03-01,7.2,62.4128,NA,100.73,NA,NA
1991-04-01,6.5,62.4138,NA,100.74,NA,NA
1991-05-01,6.7,62.8255,NA,100.89,NA,NA
1991-06-01,7,65.1955,NA,101.39,NA,NA
1991-07-01,6.8,62.8622,NA,101.35,NA,NA
1991-08-01,6.6,65.1235,NA,101.28,NA,NA
1991-09-01,6.5,65.8034,NA,101.4,NA,NA
1991-10-01,6.5,65.3125,NA,101.6,NA,NA
1991-11-01,6.7,64.1765,NA,102.13,NA,NA
1991-12-01,6.9,63.3248,NA,102.19,NA,NA
1992-01-01,8.1,63.5552,NA,102.28,NA,130683
1992-02-01,8.2,64.4449,228230,102.95,NA,131244
1992-03-01,7.8,65.1313,245052,103.09,NA,142488
1992-04-01,7.2,64.4295,236726,102.97,NA,147175
1992-05-01,7.3,64.9418,238178,103.16,NA,152420
1992-06-01,8,66.7399,254919,103.52,NA,151849
1992-07-01,7.7,64.6917,215164,103.78,NA,152586
1992-08-01,7.4,66.7648,229877,104.35,NA,152476
1992-09-01,7.3,66.9514,251642,104.6,NA,148158
1992-10-01,6.9,67.2483,250738,104.79,NA,155987
1992-11-01,7.1,66.7355,238753,105.05,NA,154824
1992-12-01,7.1,66.3289,245841,104.65,NA,191347
1993-01-01,8,66.6681,224516,104.4,31283,137020
1993-02-01,7.8,67.6334,245826,104.08,30264,134462
1993-03-01,7.4,67.6601,260569,104.68,33794,153025
1993-04-01,6.9,66.6265,243538,105.57,37257,158615
1993-05-01,6.8,66.659,241420,105.91,40124,163519
1993-06-01,7.2,68.6221,264103,106.7,43842,162964
1993-07-01,7,66.2906,220405,106.72,44682,164590
1993-08-01,6.6,68.6034,243322,107.17,46866,163989
1993-09-01,6.4,68.9336,259484,107.38,47755,159298
1993-10-01,6.4,69.0893,257233,107.51,45361,163992
1993-11-01,6.2,68.6103,249000,107.72,44786,169980
1993-12-01,6.1,68.3725,250599,107.9,39535,206174
1994-01-01,7.3,68.9453,240343,107.86,34917,145276
1994-02-01,7.1,69.5302,256001,108.01,33222,146332
1994-03-01,6.8,70.3719,273234,108.73,38215,173562
1994-04-01,6.2,69.5651,256785,109.31,41754,170795
1994-05-01,5.9,70.0332,261428,109.86,45711,175527
1994-06-01,6.2,72.5049,283177,110.47,49032,178509
1994-07-01,6.2,69.582,236055,110.59,49545,173198
1994-08-01,5.9,72.7827,270302,110.95,51516,182445
1994-09-01,5.6,73.3752,285477,110.79,51718,175128
1994-10-01,5.4,73.3977,280143,110.87,49135,178642
1994-11-01,5.3,73.0369,277084,110.99,46719,184272
1994-12-01,5.1,73.1756,279657,110.67,40406,221549
1995-01-01,6.2,73.3322,263051,110.77,37206,158004
1995-02-01,5.9,74.1067,284844,111.15,35250,155156
1995-03-01,5.7,74.5805,300817,111.44,40016,181910
1995-04-01,5.6,72.5988,275740,111.92,42824,176635
1995-05-01,5.5,73.2691,283428,112.29,46615,190269
1995-06-01,5.8,75.8694,299931,113.09,49804,191609
1995-07-01,5.9,72.535,248729,113.61,50219,182909
1995-08-01,5.6,76.2674,286806,113.93,52628,193370
1995-09-01,5.4,76.9523,307951,113.86,53028,182521
1995-10-01,5.2,75.983,294603,113.78,51372,184276
1995-11-01,5.3,75.3962,288737,113.81,48163,193405
1995-12-01,5.2,75.2358,291866,113.93,41542,227552
1996-01-01,6.3,74.6803,272083,114.05,39356,167372
1996-02-01,6,76.5064,288012,114.23,37391,173941
1996-03-01,5.8,76.8998,311500,115,42052,191851
1996-04-01,5.4,75.8964,288426,115.6,46865,191886
1996-05-01,5.4,76.554,299611,116.22,51598,205797
1996-06-01,5.5,79.6921,312271,116.71,54703,196842
1996-07-01,5.6,76.2258,269015,117.11,55430,197140
1996-08-01,5.1,79.8702,292389,117.09,57488,204270
1996-09-01,5,80.9475,317268,117.12,58544,189424
1996-10-01,4.9,79.9619,311265,116.96,57456,201927
1996-11-01,5,79.8717,306883,117.08,53498,203621
1996-12-01,5,79.6972,298661,117.08,45313,237478
1997-01-01,5.9,79.7623,285190,116.91,41882,181073
1997-02-01,5.7,81.4407,309179,117.22,40788,178428
1997-03-01,5.5,82.3211,321779,118.17,45704,203750
1997-04-01,4.8,81.4123,310643,118.69,48998,199219
1997-05-01,4.7,81.5137,306575,119.5,53617,211516
1997-06-01,5.2,84.076,332244,119.95,56977,205491
1997-07-01,5,80.7163,285899,120.25,58826,208856
1997-08-01,4.8,85.2607,314060,120.66,60682,211952
1997-09-01,4.7,86.7515,339406,120.42,61323,201415
1997-10-01,4.4,86.7398,330521,120.84,60053,210145
1997-11-01,4.3,87.0841,326856,120.98,54968,207533
1997-12-01,4.4,86.8951,317483,121.06,48031,249389
1998-01-01,5.2,86.4821,295916,121.16,44409,187445
1998-02-01,5,87.6381,320116,122.05,43150,183767
1998-03-01,5,88.4365,337291,122.95,49602,207973
1998-04-01,4.1,86.3008,317776,123.84,54017,212262
1998-05-01,4.2,87.5994,314616,124.76,57723,221155
1998-06-01,4.7,89.0019,333459,125.95,64393,220867
1998-07-01,4.7,85.7061,279252,126.21,64381,217687
1998-08-01,4.5,90.4734,314606,126.72,66137,216605
1998-09-01,4.4,90.2151,339286,127.16,66544,208915
1998-10-01,4.2,90.8475,323043,127.45,64600,220499
1998-11-01,4.1,89.9815,313623,127.99,60469,218969
1998-12-01,4,89.8494,319159,128.19,53095,265618
1999-01-01,4.8,89.8788,298792,128.71,48746,196810
1999-02-01,4.7,90.9111,320334,129.21,48824,199451
1999-03-01,4.4,92.315,347683,130.25,55607,230230
1999-04-01,4.1,90.3664,318219,131.25,58654,227109
1999-05-01,4,91.2868,321405,132.51,62209,237462
1999-06-01,4.5,93.7224,345932,133.53,67545,236830
1999-07-01,4.5,89.9085,295583,134.19,68522,236992
1999-08-01,4.2,94.2926,333204,134.94,69975,240478
1999-09-01,4.1,93.8173,353716,135.02,70034,230665
1999-10-01,3.8,94.7947,343647,135.66,68669,233193
1999-11-01,3.8,94.1739,331794,135.81,66684,240857
1999-12-01,3.7,94.2509,346933,136.07,59082,293013
2000-01-01,4.5,93.9922,323474,137.37,53782,213709
2000-02-01,4.4,94.7928,337504,137.2,53993,227087
2000-03-01,4.3,96.5013,370003,138.79,61295,253717
2000-04-01,3.7,95.1565,336901,140.08,64524,239051
2000-05-01,3.8,95.5304,344615,141.22,69253,257581
2000-06-01,4.1,98.6524,398101,142.63,72715,255066
2000-07-01,4.2,93.9269,307154,143.33,71774,244445
2000-08-01,4.1,97.5571,345644,143.81,76132,257487
2000-09-01,3.8,98.0603,370860,144.4,75153,243624
2000-10-01,3.6,97.145,345596,144.93,73550,245167
2000-11-01,3.7,96.0615,339253,145.39,69677,252145
2000-12-01,3.7,95.6218,342367,145.8,60910,294197
2001-01-01,4.7,94.3738,312664,146.47,56855,226791
2001-02-01,4.6,94.5461,325143,147.4,55529,223971
2001-03-01,4.5,95.469,356885,148.78,62808,253439
2001-04-01,4.2,92.2402,315057,150,67787,249062
2001-05-01,4.1,93.0288,336114,151.21,72920,268658
2001-06-01,4.7,95.2816,340589,152.47,78004,260315
2001-07-01,4.7,90.7552,288080,153.33,78281,251504
2001-08-01,4.9,94.3073,328478,153.93,79916,266460
2001-09-01,4.7,93.5045,320727,154.5,76605,236210
2001-10-01,5,92.3731,328245,155.06,76302,265188
2001-11-01,5.3,90.7925,305656,155.03,71543,262004
2001-12-01,5.4,90.366,311217,155.59,63697,298666
2002-01-01,6.3,90.7818,289997,156.15,59516,230546
2002-02-01,6.1,91.4904,306057,157.02,58588,228084
2002-03-01,6.1,93.037,333237,158.59,63782,257133
2002-04-01,5.7,92.0908,317142,159.91,69504,257357
2002-05-01,5.5,92.6034,329014,161.63,73384,271682
2002-06-01,6,96.4257,326347,163.17,77182,260385
2002-07-01,5.9,91.6492,296043,164.24,78863,266795
2002-08-01,5.7,95.8827,331646,165.16,79460,277716
2002-09-01,5.4,95.782,330746,165.94,76542,246350
2002-10-01,5.3,94.5346,332414,166.65,75710,259945
2002-11-01,5.6,93.5441,314870,167.06,71362,263738
2002-12-01,5.7,92.7108,315632,167.72,63984,308821
2003-01-01,6.5,93.2425,305612,168.28,59877,242271
2003-02-01,6.4,94.4322,316969,169.37,58526,233478
2003-03-01,6.2,95.1545,349765,170.62,64506,264532
2003-04-01,5.8,92.4939,319674,172.16,69638,265990
